ogc_fid,sector,cod_col,name,NEIGHBORHOOD,alias,AliasType,GISID,uid
13,23,2316,COLONIA LOS PERIODISTAS,LOS PERIODISTAS,PERIODISTA,Agency variations,782,23-PERXXX-001
1477,11,1102,COLONIA EL PRADO,EL PRADO,PRADO,Agency variations,1246,11-PRAXXX-001
15717,13,1344,COLONIA CENTRO AMERICA OESTE,CENTRO AMERICA OESTE,CA OESTE,Agency variations,1264,13-CENAME-001
10659,16,1656,RESIDENCIAL ZARAHEMLA,ZARAHEMLA,RESIDENCIAL ZARAHEMLA,Default,1311,16-ZARXXX-001
10659,16,1656,RESIDENCIAL ZARAHEMLA,ZARAHEMLA,ZARAHENLA,Agency variations,1311,16-ZARXXX-001
136,10,1030,RESIDENCIAL LOMAS DEL GUIJARRO SUR,LOMAS DEL GUIJARRO SUR,TORRE ATENEA,Building,601,10-LOMGUI-002
109,4,401,COLONIA LOS CASTA√ëOS,LOS CASTAÑOS,CASTA√ëOS,UTF8,911,04-CASXXX-001
955,10,1018,COLONIA LOMAS DEL CASTA√ëO SUR,LOMAS DEL CASTAÑO SUR,LOMAS DEL CASTA√ëOS SUR,UTF8,47,10-LOMCAS-001
125,7,703,COLONIA MONSE√ëOR FIALLOS,MONSEÑOR FIALLOS,MONSE√ëOR FIALLO,UTF8,200,07-MONFIA-001
1029,11,1106,COLONIA MIRAMONTES,MIRAMONTES,LA MIRAMONTES,Agency variations,1145,11-MIRXXX-001
1793,16,1622,RESIDENCIAL VILLA CENTROAMERICANA,VILLA CENTROAMERICANA,VILLA CENTROAMERICANA,Default,630,16-VILCEN-001
10828,16,1621,RSIDENCIAL ECO VIVIENDAS,RESIDENCIAL ECO VIVIENDAS,ECOVIVIENDA,Agency variations,1058,16-RSIECO-001
10828,16,1621,RSIDENCIAL ECO VIVIENDAS,RESIDENCIAL ECO VIVIENDAS,ECO VIVIENDA,Agency variations,1058,16-RSIECO-001
1099,4,408,COLONIA LARA,LARA,TORRES LARA,Building,664,04-LARXXX-001
