Neighborhood,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
COL 14 DE MARZO,R3,251,COLONIA 14 DE MARZO,2108,DU03,SECTOR 21,,
COL 19 DE SEPTIEMBRE,R4,66,COLONIA   19 DE SEPTIEMBRE,1306,DU11,SECTOR 13,,
COL 1ERO DE DICIEMBRE,R4,624,COLONIA PRIMERO DE DICIEMBRE,1379,DU05,SECTOR 13,,
COL 23 DE JUNIO,R4,650,COLONIA   23 DE JUNIO,1315,DU11,SECTOR 13,,
COL 25 DE ENERO,R4,83,COLONIA 25 DE ENERO,1381,DU11,SECTOR 13,,
COL 28 DE MARZO,R4,726,COLONIA 28 DE MARZO,1619,DU02,SECTOR 16,,
COL 3 DE MAYO,R3,796,COLONIA 3 DE MAYO,744,DU06,SECTOR 07,,
COL DE LA JOYA,R3,331,COLONIA LOMA DE LA JOYA,1931,DU03,SECTOR 19,,
COL EL TRIANGULO,R1,585,COLONIA EL TRIANGULO,1013,DU02,SECTOR 10,,
COL GODOY,R2,415,COLONIA  GODOY,2314,DU04,SECTOR 23,,
COL GUAYMURA,R4,169,RESIDENCIAL GUAYMURAS,2009,DU03,SECTOR 20,,
COL IBERIA,R4,629,COLONIA IBERIA,767,DU05,SECTOR 07,,
COL IZAGUIRRE,R4,728,COLONIA IZAGUIRRE,1612,DU02,SECTOR 16,,
COL LA CANADA,R3,789,COLONIA CANADA,720,DU06,SECTOR 07,,
COL LA ESPERANZA,R4,727,COLONIA LA ESPERANZA,1613,DU02,SECTOR 16,,
COL LA JOYA,R4,224,COLONIA LA JOYA,1912,DU03,SECTOR 19,,
COL LA PEÑA,R4,369,COLONIA LA PE√ëA,2121,DU03,SECTOR 21,,
COL LA TRINIDAD,R3,711,COLONIA LA TRINIDAD,1603,DU08,SECTOR 16,,
COL LOMAS DEL BOSQUE,R3,819,COLONIA LOMAS DEL BOSQUE,829,DU07,SECTOR 08,,
COL LOMAS DEL GUIJARRO,R1,593,COLONIA LOMAS DEL GUIJARRO,1006,DU02,SECTOR 10,,
COL MELGAR,R4,773,COLONIA MELGAR,706,DU06,SECTOR 07,,
COL NORA DE MELGAR S/A,R3,235,COLONIA NORA DE MELGAR,0,DU03,SECTOR 19,,
COL NUEVA SANTA ROSA,R4,552,COLONIA NUEVA SANTA ROSA,928,DU07,SECTOR 09,,
COL NUEVO AMANECER,R3,29,COLONIA NUEVO AMANECER,1217,DU04,SECTOR 12,,
COL NUEVOS HORIZONTES,R3,963,COLONIA NUEVOS HORIZONTES,2510,DU06,SECTOR 25,,
COL OSCAR CASTRO,R4,28,COLONIA OSCAR CASTRO TEJADA,1236,DU04,SECTOR 12,,
COL PARCALTAGUA,D1,481,BARRIO PARCALTAGUA,417,DU02,SECTOR 04,,
COL PEREZ,R1,607,COLONIA PEREZ,1108,DU02,SECTOR 11,,
COL POPULAR NUM 1 COMAYAGUELA,R3,346,COLONIA LA POPULAR,2110,DU03,SECTOR 21,,
